Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Anderson, Ramsay",-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,
"Armstrong, Bert",2,3,2,1,,6,1,3,3,4,1,1,-,3,-,,,-,-,30.0
"Armstrong, Lou",-,2,1,2,1,,-,-,2,4,-,2,2,1,1,,,,-,18.0
"Bant, Horrie",-,-,-,-,,,-,-,,,,,,-,-,-,-,-,-,
"Baring, Fred",,,,,,,,1,1,1,1,-,-,1,-,-,1,-,-,6.0
"Bayford, Dick",,-,,,,,,,,,1,1,-,,,,,-,,2.0
"Beckley, Charlie",,,,,-,-,,,,,,,,-,,-,-,,,
"Belcher, Allan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2.0
"Bowe, Len",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,
"Bryant, Hedley",,,,,-,2,,,,,,,-,,,,,,,2.0
"Busbridge, Bill",-,1,1,,,,,,,,,-,-,,-,1,-,-,-,3.0
"Cameron, Ernie",-,1,-,-,-,1,1,-,-,-,-,-,-,,,,,,-,3.0
"Crawley, Val",,-,,,,,,,,,,,,,,,,,,
"Daykin, Bert",-,1,1,1,-,-,2,-,,,,,,,,,,,,5.0
"Griffith, Billy",,,,1,-,-,-,-,-,-,-,,,-,-,1,-,-,,2.0
"Harrison, Billy",,,,1,-,-,,,-,,,-,-,-,,-,4,1,-,6.0
"Landmann, Otto",,,,,,,,-,,,,,,,,,,,,
"Martin, Jim",-,,1,,1,1,1,-,-,-,1,1,-,-,-,2,1,1,1,11.0
"McLeod, George",,-,,-,-,-,-,,-,-,-,-,-,,-,-,1,-,1,2.0
"Monteith, Dick",,,-,-,,-,-,-,,,-,,,,,,,-,,
"OConnor, Leo",,,,,,,,,,,,,,-,1,2,-,-,,3.0
"OShea, Fred",-,-,1,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,1.0
"Ogden, Percy",-,4,-,-,-,1,-,-,1,-,1,1,-,1,-,-,-,-,-,9.0
"Parkinson, Fred",1,,-,-,,,,,,,,,,1,,,,,-,2.0
"Prout, Harry",-,-,,,,,-,-,1,-,1,-,-,4,-,-,-,2,-,8.0
"Sewart, Bill",-,-,-,-,-,,-,-,-,-,-,-,,-,-,,,,,
"Shea, Paddy",-,3,2,-,4,1,1,1,1,2,2,-,-,-,,1,-,-,2,20.0
"Slater, Arthur",,,,,,,,,,,,,,,,,-,,,
"Smith, Dave",-,-,2,-,2,4,1,-,-,-,-,-,-,-,2,1,3,1,-,16.0
"Teather, Charlie",,,-,,,,,,,,,,,,,,,,,
"Whelpton, Fred",-,,,,,,,,,,,,,,,,,,,
"White, Les",,,,,-,-,,,,1,,-,,,-,-,,,-,1.0
"Wood, Jack",,,,,,,,,-,-,,,,,,,,,,
Totals,3,15,11,6,8,16,7,5,9,12,8,6,2,11,4,8,10,6,5,152.0
Opponent,FI,UN,SM,CW,SK,ME,CA,GE,RI,FI,UN,SM,CW,SK,ME,CA,GE,RI,CW,
