Player,R1,R2,R3,R4,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,Tot
"Allen, Bill",-,-,-,2,1,1,-,-,1,-,-,,-,-,-,-,5.0
"Anthony, Mick",-,,,,,,-,-,-,-,-,-,-,-,-,1,1.0
"Baquie, Jack",,,-,-,-,,,,,,,,,,,,
"Bodington, Bob",,,-,,,,,,,,,,,,,,
"Boyd, Les",,,,,,,,-,-,-,-,-,,-,-,4,4.0
"Brake, Jack",-,-,-,,,,,,,,,,,,,,
"Bryan, Claude",,,,-,,-,,,-,,,,,,,,
"Campbell, Bruce",,,,,,,,1,,1,-,2,-,,,,4.0
"Chadwick, Bert",1,-,1,-,1,2,-,1,1,-,-,-,-,1,-,-,8.0
"Corbett, Bob",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Dobrigh, Leo",,,,,,,,,,,,,,,,-,
"Ellis, Reg",,,,,,,,,,-,,,,,,,
"Farrow, Alec",-,-,-,-,,-,-,-,-,-,-,1,1,-,-,1,3.0
"Fawcett, Bill",,,,,-,,,,,,,,,,,,
"Garlick, George",,,,-,-,-,,,,,,,,2,2,,4.0
"Gray, Alec",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Harker, Harry",,3,-,2,5,1,5,2,3,2,,,,,,,23.0
"Heinz, George",-,1,-,2,2,2,-,2,-,-,3,3,-,,,3,18.0
"Henderson, Norm",,,,,,,,,,,,,,1,1,,2.0
"House, Jack",1,,-,-,2,-,-,,-,,1,-,-,,2,-,6.0
"Huntington, Jack",1,1,1,2,2,1,1,-,-,1,4,-,1,,,,15.0
"Hutcheson, Syd",-,-,-,-,-,-,,-,,,,-,-,-,-,,
"Lilley, Charlie",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Little, Leo",-,-,-,,,1,-,,,,,,,,,2,3.0
"Matthews, Herb",-,1,,-,-,1,-,-,-,-,-,1,1,-,-,-,4.0
"McIntyre, Bill",,,,,,,,,-,-,-,,,,,,
"Neal, Aubrey",,,,,,,,,,,,,,,,-,
"OCarroll, Joe",,-,,,,,,,,,,,,1,1,,2.0
"Odgers, Hughie",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Rowe, Vern",,,,3,,,-,,-,,,3,-,-,,1,7.0
"Shelton, Bill",2,1,-,,,,,,-,-,-,-,-,2,-,-,5.0
"Streeter, Charlie",2,2,1,-,-,1,,-,,1,-,1,-,1,-,-,9.0
"Tampling, Harry",,,,,,,-,,,,,,,,,,
"Tonkin, Eric",2,3,-,,-,,-,-,,,,,,,,,5.0
"Walker, George",,,,,-,-,-,-,-,-,-,-,-,-,-,,
Totals,9,12,3,11,13,10,6,6,5,5,8,11,3,8,6,12,128.0
Opponent,SM,ES,CW,SK,CA,RI,FI,GE,SM,ES,CW,SK,CA,RI,FI,GE,
