Player,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,Tot
"Anderson, Frank",,-,-,-,-,,,-,,,,,,-,
"Atkinson, Bob",-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Atkinson, Wilf",-,,,,,,,,,,,,,,
"Bailey, George",-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Baird, Jim",-,,-,1,2,-,-,,,-,-,1,7,5,16.0
"Bennett, Jack",,-,1,-,2,1,-,-,-,-,,,,1,5.0
"Brown, Bill",,,,,,,-,,,,,,,,
"Brown, Vin",-,-,-,-,-,-,-,,-,1,1,-,-,-,2.0
"Chitty, Bob",1,-,,-,3,,-,3,,-,-,4,2,1,14.0
"Collins, Lance",,1,4,1,,,3,1,,,-,3,-,-,13.0
"Cooper, Ron",2,2,1,-,1,1,,,-,-,,,2,,9.0
"Deacon, Bert",,,,,,-,-,-,,,,,,,
"Fitzgibbon, Fred",,-,-,-,-,-,-,1,-,-,-,1,-,-,2.0
"Francis, Jim",-,1,-,1,2,-,-,4,-,-,-,-,-,1,9.0
"Gill, Frank",,,,,,,,,-,,,,,,
"Gniel, George",-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Green, Bob",-,,,,,,,,,,,,,,
"Grieve, Ollie",,,,,-,-,-,-,-,,,,1,,1.0
"Howell, Jack",-,,,,,,,,,,,,,,
"Knight, Jim",-,-,,-,1,-,1,-,,1,1,2,,-,6.0
"Mann, Cyril",,,,,,,,,2,3,-,-,-,,5.0
"McInnes, Charlie",1,-,1,-,-,1,-,-,1,-,3,1,-,5,13.0
"McIntyre, Don",,-,-,,,-,,,,,-,-,-,,
"McLean, Rod",,,,,,,,,,,-,-,,-,
"Mooring, Jim",2,1,-,-,-,1,2,-,-,1,2,1,2,1,13.0
"Morgan, Reg",,,,,,,,,-,-,,,,,
"Price, Mick",,,-,1,-,,,-,,-,,,,,1.0
"Sanger, Arthur",-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Savage, Ron",-,-,,1,,-,,-,-,-,1,-,1,1,4.0
"Schmidt, Paul",2,4,3,4,5,5,7,3,8,3,1,2,-,-,47.0
"Sleith, Arthur",-,-,,,,,,,-,,-,,,,
"Standfield, Bob",,,-,,,,,,,,,,,,
"Wrout, Jack",-,2,3,1,4,1,5,-,2,4,3,3,2,3,33.0
Totals,8,11,13,10,20,10,18,12,13,13,12,18,17,18,193.0
Opponent,SM,ES,FI,RI,NM,FO,SK,HW,ME,CW,SM,ES,FI,RI,
