Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Ashman, Rodney",8,5,1,5,5,9,7,,4,8,6,3,4,6,7,9,1,,6,9,6,5,7,4,8,5,138.0
"Austin, Rod",,,,,3,3,6,9,4,2,2,,,,,,,,,5,3,8,4,6,12,,67.0
"Bortolotto, Mario",4,9,3,,,,,,,,,3,-,1,3,7,4,,,,,,,,3,3,40.0
"Bosustow, Peter",7,6,8,5,4,9,7,9,5,6,6,4,8,3,6,5,,8,4,2,5,11,4,,9,4,145.0
"Buckley, Jim",5,4,6,11,12,,,11,7,2,11,7,7,,5,7,5,6,1,4,2,,,1,,3,117.0
"Buckley, Mark",,,,,,,,,,,,,,,,,,3,,4,1,1,,,,,9.0
"Clarke, David",,,,,5,7,2,3,1,,,,,-,,,,,,,,,2,1,1,,22.0
"Ditchburn, Ross",,,,,,,,3,,,,,,,2,5,4,3,2,5,3,3,3,3,4,-,40.0
"Doull, Bruce",6,8,6,4,8,15,12,9,7,6,9,8,11,6,5,11,7,9,5,4,10,7,6,5,10,1,195.0
"Easton, Stephen",,,,,,,,,,-,,,,,,,,,,,,,,,,,
"English, Des",,,5,2,7,5,8,4,,,,,,,,,,,4,6,5,10,7,8,8,3,82.0
"Fitzpatrick, Mike",,3,5,3,8,5,8,9,6,2,5,4,4,3,2,7,,,6,3,5,4,4,5,6,3,110.0
"Glascott, David",-,,4,6,11,5,16,12,10,9,11,8,15,8,11,,6,16,8,8,10,9,12,7,9,8,219.0
"Harmes, Wayne",3,,,,,4,2,,4,5,1,4,3,4,4,4,2,7,6,8,4,9,6,3,1,4,88.0
"Hartney, Brendan",,,,,,,,,,,,,-,3,8,11,4,4,,,,,,,,,30.0
"Howell, Scott",,,6,7,3,5,3,2,2,,,5,,,,,-,5,4,,,,,,,,42.0
"Hunter, Ken",8,9,4,2,,3,13,4,6,4,1,1,,,,,5,9,6,4,8,7,10,3,3,2,112.0
"Johnston, Wayne",5,3,5,8,,3,7,9,10,9,6,,3,5,9,5,1,2,4,3,8,8,6,,,2,121.0
"Jones, Warren",2,2,6,6,4,5,1,,3,4,5,,2,5,8,8,8,9,7,1,1,2,-,2,5,-,96.0
"Klomp, Robbert",3,11,6,12,7,16,6,5,4,2,7,2,8,8,7,3,4,7,3,,,-,2,2,4,1,130.0
"Kourkoumelis, Spiro",,3,,,,,4,,,,,,7,1,2,,,5,,,,,,,,,22.0
"Lenaghan, Denis",,,,,,,,,,,,,,4,,,,,,,,,,,,,4.0
"Maclure, Mark",3,,,,,,,,,,,4,8,,7,6,5,,,1,2,6,7,1,,4,54.0
"Marchesani, Frank",,6,6,2,8,4,10,4,8,12,5,7,8,5,,8,3,,,,,,,,3,,99.0
"Marcou, Alex",9,7,5,12,5,4,3,4,-,5,6,8,9,,8,10,11,7,8,4,7,10,8,4,10,7,171.0
"Maylin, Phil",8,10,6,8,13,10,8,9,10,5,14,10,7,9,7,7,6,11,7,5,13,9,14,12,10,3,231.0
"McConville, Peter",6,4,6,3,1,,,,3,2,5,3,4,3,,,,8,9,4,6,13,6,5,8,6,105.0
"Meldrum, Paul",,,,,,,,,,,,,,,8,4,,,,,,,,,,,12.0
"Montgomery, Allan",2,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0
"Perovic, Val",2,,3,4,-,6,7,4,,2,8,1,4,1,3,3,3,9,2,2,1,2,2,-,2,5,76.0
"Sheldon, Ken",15,5,8,3,5,1,,,,,4,2,,,,3,7,6,4,,1,14,5,5,5,4,97.0
"Southby, Geoff",3,7,,6,2,6,5,5,3,5,5,2,3,3,3,6,3,5,4,4,,,,-,,,80.0
"Waddell, Rod",,7,,,,,,4,,,,,,,,,,,,,,,,,,,11.0
"Wells, Greg",4,5,2,4,1,,,12,4,2,4,4,,2,,,,,,,,,,,,,44.0
Totals,103,115,101,113,112,125,135,131,101,92,121,90,115,80,115,129,89,139,100,86,101,138,115,77,121,68,2812.0
Opponent,FI,ES,CW,HW,ME,SK,GE,FO,SY,RI,NM,ES,CW,HW,ME,SK,GE,FO,SY,RI,NM,FI,HW,RI,HW,RI,
