Player,R1,R2,R3,R4,R5,R6,R8,R9,R10,R11,R12,R13,R14,R15,R17,R18,SF,PF,Tot
"Alexander, Harold",-,-,-,1,3,-,-,2,1,-,1,1,1,-,,-,-,1,11.0
"Allison, Bobby",2,2,1,1,1,-,-,,,,,2,,,,,,,9.0
"Beer, Leon",1,,,,,,,,,,,,,,,,,,1.0
"Billett, Billy",,,,2,1,1,,,,,,,,,,,,,4.0
"Brown, Martin",,,,,1,,1,,1,-,-,-,1,,2,-,-,-,6.0
"Cazaly, Roy",1,-,1,2,,-,-,-,2,1,-,1,-,1,5,-,-,2,16.0
"Condon, Bill",-,1,-,,,,,,3,-,1,-,2,1,1,2,-,-,11.0
"Fleiter, Fred",,,,,,,,-,-,-,-,,,,,,,,
"Hando, Arthur",-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Hiskins, Arthur",-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,
"Hynes, Tammy",-,-,-,-,,,,-,-,,,,-,-,-,-,-,-,
"James, Syd",-,-,-,,2,1,-,-,,,,,,,,,,-,3.0
"Johnson, Ted",,,,-,-,2,2,2,3,5,4,4,5,3,3,2,7,2,44.0
"Joyce, Tom",-,-,-,-,,,,,,,,,,,,,,,
"Laird, Frank",-,,,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Matthews, Herb",,-,-,-,,1,4,1,1,1,1,-,-,1,1,3,-,1,15.0
"Matthews, Wal",3,,1,-,2,-,,,,,,-,-,-,,,,,6.0
"McDonald, Bob",,1,-,,-,-,-,-,-,-,-,-,,,,,,,1.0
"Nicholls, Charlie",,,,,,,,,,,,,,1,-,,,,1.0
"OConnell, Jack",,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Roberts, Bill",,1,,,,,,,,,,,,,,,,,1.0
"Robertson, Harold",,,,,,,,,,,,,,,2,1,1,-,4.0
"Ross, Frank",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,1,,1.0
"Russell, Bert",,,,,,,,1,,,,,-,1,,,,,2.0
"Scanlan, Joe",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Scanlan, Paddy",2,1,-,-,1,-,-,,-,1,-,1,-,1,-,-,-,-,7.0
"Sutton, Bert",,,,,,,,,-,-,-,-,-,1,-,-,-,-,1.0
"Tandy, Mark",1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,3.0
"Wood, Artie",-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,3.0
"Woodfield, Les",2,3,1,-,1,-,4,-,,,,,,,,,,,11.0
Totals,12,9,4,6,13,7,12,6,11,8,7,9,10,10,14,8,10,6,162.0
Opponent,CW,FI,ES,ME,GE,CA,RI,SK,CW,FI,ES,ME,GE,CA,RI,SK,ES,FI,
