Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,Tot
"Bedford, Toby",9,-,-,-,-,-,9,-,,7,11,-,,11,8,5,5,-,,,,,,,65.0
"Bowey, Jake",9,34,18,11,21,23,21,14,17,12,24,14,19,11,15,10,,,,,,11,,,284.0
"Brayshaw, Angus",23,20,34,23,22,25,26,31,24,18,26,24,29,29,19,27,20,29,28,32,38,27,20,18,612.0
"Brown, Ben",13,6,,,,13,11,10,6,8,2,4,8,11,9,10,14,,,16,8,7,7,10,173.0
"Brown, Mitch",,,,,,,,,,,,8,9,,7,,,,,,,,,,24.0
"Chandler, Kade",,,,,,,3,,3,,,,1,,,,,,-,,,,,,7.0
"Dunstan, Luke",,,,,,18,11,,,22,12,,,,,,-,,,,,,,,63.0
"Fritsch, Bayley",9,5,9,9,11,10,9,4,11,12,7,7,10,10,8,9,15,12,14,11,4,13,13,7,229.0
"Gawn, Max",14,18,22,25,21,19,29,11,17,15,20,28,13,,,14,16,25,14,31,20,11,19,15,417.0
"Harmes, James",17,21,21,23,23,16,16,16,17,,,13,16,16,22,17,17,9,,-,-,20,23,20,343.0
"Hibberd, Michael",,,,,,,,,,,,,22,14,7,15,14,17,16,11,16,10,11,14,167.0
"Hunt, Jayden",11,7,16,7,12,13,9,15,12,5,8,3,,-,,-,,,12,9,19,18,15,9,200.0
"Jackson, Luke",12,21,16,14,14,13,,9,19,15,15,13,16,21,,10,13,11,13,17,12,13,7,9,303.0
"Jordon, James",20,22,16,27,20,19,19,15,27,22,27,24,29,24,18,18,19,16,20,24,17,2,,,445.0
"Langdon, Ed",22,20,31,26,25,30,9,39,24,6,,23,10,15,33,21,24,13,23,22,13,18,21,24,492.0
"Lever, Jake",,,,7,12,,10,17,12,16,12,8,13,20,17,13,7,,11,14,7,13,8,9,226.0
"May, Steven",14,24,22,23,24,20,20,16,19,14,6,,,22,18,26,18,19,13,18,25,20,23,17,421.0
"McDonald, Tom",12,9,6,8,10,,13,14,14,11,,,,,,,,,,,,,,,97.0
"Melksham, Jake",,,,,,,12,,,7,5,,,,,,6,9,11,8,15,10,5,10,98.0
"Neal-Bullen, Alex",18,23,10,20,13,27,,17,17,12,14,20,22,17,16,13,14,11,7,14,13,14,14,13,359.0
"Oliver, Clayton",32,34,38,19,31,41,33,38,29,45,36,29,43,35,36,34,,28,21,42,29,30,29,21,753.0
"Petracca, Christian",38,40,21,24,30,25,31,36,28,30,10,25,32,31,33,21,30,24,30,36,24,23,24,27,673.0
"Petty, Harry",,,,,9,17,,11,13,6,9,8,11,8,9,10,,12,9,7,9,12,13,18,191.0
"Pickett, Kysaiah",5,12,6,8,10,9,,14,20,7,17,11,8,12,7,7,14,10,12,13,12,11,4,10,239.0
"Rivers, Trent",,20,18,10,18,19,17,8,13,9,14,,,,,,11,10,16,12,14,15,13,7,244.0
"Salem, Christian",3,,,,,,,,,,,20,25,17,22,18,16,19,17,24,22,,12,11,226.0
"Smith, Joel",11,12,11,,,9,5,,,,,,,,,,,,,,,,-,-,48.0
"Spargo, Charlie",14,10,10,16,22,13,8,14,15,13,13,10,12,13,12,4,17,10,11,9,4,9,13,10,282.0
"Sparrow, Tom",13,18,14,19,17,24,,23,19,20,13,12,19,17,15,11,18,18,17,9,10,14,14,17,371.0
"Tomlinson, Adam",8,23,10,7,,,,,,,,12,,,-,,15,12,,,,,,,87.0
"Turner, Daniel",,,,,,,,,,,,,5,,,,,,,,,,,,5.0
"Viney, Jack",23,23,17,21,27,,23,18,27,,28,32,33,34,26,35,28,24,33,30,26,14,23,20,565.0
"Weideman, Sam",,,11,7,8,8,8,,,,7,,,11,12,,,10,1,,,,,,83.0
Totals,350,422,377,354,400,411,352,390,403,332,336,348,405,399,369,348,351,348,349,409,357,335,331,316,8792.0
Opponent,WB,GC,ES,PA,GW,RI,HW,SK,WC,NM,FR,SY,CW,BL,AD,GE,PA,WB,FR,CW,CA,BL,SY,BL,
