Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,SF,SF.1,SF.2,Tot
"Bannister, Horrie",,,,-,,,,,,,,,,,,,,,,
"Barnett, Jack",,,,,,,,,,,,,1,2,2,-,1,-,1,7.0
"Beare, Gerry",,,-,-,,,,,,,,,,,,,,,,
"Bourke, Ted",3,2,-,1,,-,-,-,1,3,-,2,-,1,,,-,1,-,14.0
"Brunning, Herbie",,,,,,,,,,-,,,,,,,,,,
"Chalmers, Eric",,-,1,,-,2,,,,,-,1,,,,,,,,4.0
"Don, Donald",-,-,1,-,-,2,3,3,,,,,,,,,,,,9.0
"Empey, Ralph",,,,,,,,,,,,,,,,2,-,-,2,4.0
"Fraser, Don",,,-,,,,,,,,,,,,,,,,,
"Gale, Jack",,,,-,,,-,,,,,,,-,,,,,,
"Hall, Clarrie",,,,,,,,,,,,,,,,,,-,,
"Harley, Frank",2,2,-,-,1,1,1,-,1,1,-,-,2,3,-,,,,,14.0
"Harrison, Joe",-,,,,,,,,,,,,-,-,-,-,-,-,-,
"Hayes, Doug",1,,-,-,1,1,-,-,-,-,-,-,5,-,2,-,5,,3,18.0
"Hislop, Gordon",,,-,-,-,-,,-,-,-,-,,-,-,,,,-,-,
"Hislop, Max",,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Huggard, Frank",,,,,,-,-,,,,,,,,,,,,,
"Karthaus, Jim",,,-,,,,,,,,,,,,,,,,-,
"MacIsaac, Angus",-,-,-,-,-,-,1,-,-,-,1,-,-,2,1,1,-,1,-,7.0
"Maxfield, Jim",,,,,-,1,-,,,,,,,,,,,,,1.0
"McCaskill, Bob",-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McIntosh, Norm",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1.0
"Millar, Keith",,,,,,,,,-,1,2,,,,-,3,2,1,1,10.0
"Minogue, Dan",-,-,-,1,-,1,-,-,2,1,-,1,1,-,-,-,1,-,-,8.0
"Morris, Mel",2,-,,,5,3,5,-,-,4,4,2,1,6,-,5,2,4,1,44.0
"Osmond, Keith",-,-,,,,,,-,-,-,-,-,,,,,,,,
"Pollock, Harry",-,-,,,,,,,,,,,,,,,,,,
"Reid, Reuben",,,,-,1,-,-,-,,,,-,,,,,,,-,1.0
"Rowe, Joe",,1,-,,,,,,,,,,,,,,,,,1.0
"Rudolph, George",2,1,1,1,-,2,2,2,-,-,1,-,-,2,1,1,1,1,1,19.0
"Rush, Kevin",,,-,,,,,,,,,,,,,,,,,
"Smith, Basil",-,1,2,-,1,,,,,,,1,-,-,1,-,,,,6.0
"Smith, Jimmy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Spain, Jim",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Taylor, Ernie",-,-,,,-,,,,-,-,-,-,1,-,-,-,1,,,2.0
"Thorp, Vic",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"Threlfall, George",,,,-,,,,,,,,,,,,,,,,
"Valentine, George",,,,,,,,-,1,,,,,,1,-,-,-,,2.0
Totals,10,7,5,3,9,13,12,5,5,10,8,7,11,17,8,12,13,8,9,172.0
Opponent,SM,GE,FI,ES,SK,ME,CW,CA,SM,GE,FI,ES,SK,ME,CW,CA,SM,FI,ES,
