Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Armstrong, Charlie",-,2,-,,,-,-,1,-,-,,-,-,-,,-,-,-,-,3.0
"Armstrong, Les",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bant, Chris",,,,,,,,-,-,,-,,,,,,,,,
"Brownlees, Rupe",-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,
"Collins, Basil",,,,,,,,,,,-,-,-,-,-,,,,,
"Cordner, Alan",-,,,,,,,-,,,,,,,,,,,,
"Dalton, Bert",-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
"Eason, Alec",-,-,1,2,-,1,-,-,,-,1,-,-,2,2,1,1,1,-,12.0
"Eason, Bill",1,2,-,-,-,3,1,1,3,3,1,1,-,-,2,-,1,2,-,21.0
"Fairbairn, Les",-,,,,,,-,-,1,,-,-,,,,-,-,-,-,1.0
"Freeman, Neil",-,-,-,-,-,-,-,-,-,-,,,-,-,-,,-,-,-,
"Gray, Jack",-,-,-,-,-,1,-,,,,-,,,,,2,-,-,-,3.0
"Grigg, Dick",1,1,-,-,-,-,,,-,-,-,-,-,3,-,-,1,1,1,8.0
"Healy, Leo",-,-,-,-,-,-,1,4,,2,,1,,2,-,-,1,-,1,12.0
"Heinz, George",-,2,1,2,-,-,-,1,1,2,-,1,1,1,-,1,1,1,-,15.0
"Marsham, Harry",1,-,-,-,-,2,-,-,-,-,2,2,-,1,-,-,2,-,-,10.0
"Martin, Len",,-,-,-,-,2,1,-,-,2,,1,2,1,-,-,-,-,-,9.0
"Martini, Percy",1,4,3,3,2,4,4,1,1,3,4,3,2,,,,,4,2,41.0
"McLean, Ted",,,,,,,,,,,,,,,-,,,-,,
"Nankervis, Stephen",,,,,,,,,,,,,,,,,-,,,
"Orchard, Billy",-,-,-,1,2,-,1,,-,-,1,1,-,2,-,-,4,,-,12.0
"Pender, Laurie",,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
"Rankin, Bert",,,-,,,,,,,,,,,,,,,,,
"Schofield, Bert",,1,,2,1,-,-,-,,,,,,,,,,,,4.0
"Scown, Percy",,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,
"Slater, Joe",-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,4.0
"Watt, Jack",-,-,-,-,1,-,-,-,-,-,-,,-,-,1,-,1,-,-,3.0
"Webber, Edmund",,,,,,,,,,,,,-,1,1,-,,,,2.0
Totals,4,13,5,11,7,13,8,8,7,12,9,10,5,13,6,4,12,9,4,160.0
Opponent,CA,SK,FI,ME,ES,CW,SM,UN,RI,CA,SK,FI,ME,ES,CW,SM,UN,RI,CA,
